Name	       Mass	   Gamma	    Spin    Isospin  I3      B		strange		charge
Dl1620plp    1.6200000    0.1500000         0.5      1.5      1.5    1		0	2
Dl1620plu    1.6200000    0.1500000         0.5      1.5      0.5    1		0	1		
Dl1620zer    1.6200000    0.1500000         0.5      1.5     -0.5    1		0	0
Dl1620min    1.6200000    0.1500000         0.5      1.5     -1.5    1		0	-1
Dl1620ppb    1.6200000    0.1500000         0.5      1.5     -1.5    -1		0	-2
Dl1620plb    1.6200000    0.1500000         0.5      1.5     -0.5    -1		0	-1	
Dl1620zrb    1.6200000    0.1500000         0.5      1.5      0.5    -1		0	0
Dl1620mnb    1.6200000    0.1500000         0.5      1.5      1.5    -1		0	1
Dl1700plp    1.7000000    0.3000000         1.5      1.5      1.5    1		0	2
Dl1700plu    1.7000000    0.3000000         1.5      1.5      0.5    1		0	1
Dl1700zer    1.7000000    0.3000000         1.5      1.5     -0.5    1		0	0	
Dl1700min    1.7000000    0.3000000         1.5      1.5     -1.5    1		0	-1
Dl1700ppb    1.7000000    0.3000000         1.5      1.5     -1.5    -1		0	-2
Dl1700plb    1.7000000    0.3000000         1.5      1.5     -0.5    -1		0	-1
Dl1700zrb    1.7000000    0.3000000         1.5      1.5      0.5    -1		0	0
Dl1700mnb    1.7000000    0.3000000         1.5      1.5      1.5    -1		0	1
Dl1905plp    1.9050000    0.3500000         2.5      1.5      1.5    1		0	2
Dl1905plu    1.9050000    0.3500000         2.5      1.5      0.5    1		0	1
Dl1905zer    1.9050000    0.3500000         2.5      1.5     -0.5    1		0	0
Dl1905min    1.9050000    0.3500000         2.5      1.5     -1.5    1		0	-1
Dl1905ppb    1.9050000    0.3500000         2.5      1.5     -1.5    -1		0	-2
Dl1905plb    1.9050000    0.3500000         2.5      1.5     -0.5    -1		0	-1
Dl1905zrb    1.9050000    0.3500000         2.5      1.5      0.5    -1		0	0
Dl1905mnb    1.9050000    0.3500000         2.5      1.5      1.5    -1		0	1
Dl1910plp    1.9100000    0.2500000         0.5      1.5      1.5    1		0	2
Dl1910plu    1.9100000    0.2500000         0.5      1.5      0.5    1		0	1
